run_id,t,generator,bus,q,q_max,mu_g_up,type
1,1,NL0 0 coal,NL0 0,110.0,110.0,0.0,investable
1,1,NL0 1 coal,NL0 1,15.0,85.55555555555556,0.0,investable
1,1,NL0 10 coal,NL0 10,0.0,79.44444444444444,0.0,investable
1,1,NL0 0 0 solar,NL0 0,50.0,50.0,4.99,legacy
1,1,NL0 1 0 solar,NL0 1,25.0,25.0,4.99,legacy
1,1,NL0 10 0 solar,NL0 10,0.0,0.0,4.989999999999725,legacy
1,2,NL0 0 coal,NL0 0,110.0,110.0,0.0,investable
1,2,NL0 1 coal,NL0 1,85.55555555555556,85.55555555555556,0.0,investable
1,2,NL0 10 coal,NL0 10,29.444444444444443,79.44444444444444,0.0,investable
1,2,NL0 0 0 solar,NL0 0,0.0,0.0,4.989999999999952,legacy
1,2,NL0 1 0 solar,NL0 1,50.0,50.0,4.99,legacy
1,2,NL0 10 0 solar,NL0 10,25.0,25.0,4.99,legacy
1,3,NL0 0 coal,NL0 0,110.0,110.0,0.0,investable
1,3,NL0 1 coal,NL0 1,85.55555555555556,85.55555555555556,0.0,investable
1,3,NL0 10 coal,NL0 10,79.44444444444444,79.44444444444444,0.0,investable
1,3,NL0 0 0 solar,NL0 0,25.0,25.0,4.99,legacy
1,3,NL0 1 0 solar,NL0 1,0.0,0.0,4.989999999999952,legacy
1,3,NL0 10 0 solar,NL0 10,50.0,50.0,4.99,legacy
2,1,NL0 0 coal,NL0 0,6.111111111111111,6.111111111111111,0.0,investable
2,1,NL0 1 coal,NL0 1,118.88888888888889,189.44444444444446,0.0,investable
2,1,NL0 10 coal,NL0 10,0.0,79.44444444444444,0.0,investable
2,1,NL0 0 0 solar,NL0 0,50.0,50.0,4.99,legacy
2,1,NL0 1 0 solar,NL0 1,25.0,25.0,4.99,legacy
2,1,NL0 10 0 solar,NL0 10,0.0,0.0,300.0,legacy
2,2,NL0 0 coal,NL0 0,6.111111111111111,6.111111111111111,0.0,investable
2,2,NL0 1 coal,NL0 1,139.44444444444446,189.44444444444446,0.0,investable
2,2,NL0 10 coal,NL0 10,79.44444444444444,79.44444444444444,0.0,investable
