variable,min,max,mean,median,std
total_cap,275.0,275.0,275.0,275.0,0.0
market_cost,6307.622025256849,6307.622025256849,6307.622025256848,6307.622025256849,9.538860905833204e-13
lambda_e_avg,5.0,5.0,5.0,5.0,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,130.55555555555551,590.0,347.77777777777777,222.77777777777777,233.43317969542392
rd_cost,52807.68333333328,381324.35,202154.40050505043,53038.238888888845,171542.1794530708
curtailment,26.111111111111086,190.0,100.6060606060606,26.1111111111111,85.58818084488479
lambda_c_z1,0.0,0.0,0.0,0.0,0.0
lambda_c_z2,0.0,0.0,0.0,0.0,0.0
lambda_c_z3,0.0,0.0,0.0,0.0,0.0
c_NL0 0 coal,6.111111111111111,110.0,53.33333333333333,6.111111111111111,54.25420277285916
c_NL0 1 coal,85.55555555555556,189.44444444444446,123.33333333333331,85.55555555555556,52.414539496377195
c_NL0 10 coal,79.44444444444444,183.33333333333334,98.33333333333334,79.44444444444444,42.02512476020876
