run_id,generator,bus,zone,cap,vc,mu_cm_bud,energy_rent,cm_rent,total_gen
1,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
1,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
1,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
2,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
2,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
2,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
3,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
3,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
3,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
4,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
4,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
4,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
5,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
5,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
5,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
6,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
6,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
6,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
7,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
7,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
7,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
8,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
8,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
8,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
9,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
9,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
9,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
10,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
10,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
10,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
11,NL0 0 0 solar,NL0 0,1,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
11,NL0 1 0 solar,NL0 1,2,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
11,NL0 10 0 solar,NL0 10,3,10.0,0.01,11.564989182752178,24.950000000000003,0.0,5.0
