run_id,t,D_max,lambda_e,ls,total_gen
1,1,200.0,5.0,0.0,200.0
1,2,200.0,5.0,0.0,200.0
1,3,200.0,5.0,0.0,200.0
2,1,200.0,5.0,0.0,200.0
2,2,200.0,5.0,0.0,200.0
2,3,200.0,5.0,0.0,200.0
3,1,200.0,5.0,0.0,200.0
3,2,200.0,5.0,0.0,200.0
3,3,200.0,5.0,0.0,200.0
4,1,200.0,5.0,0.0,200.0
4,2,200.0,5.0,0.0,200.0
4,3,200.0,5.0,0.0,200.0
5,1,200.0,5.0,0.0,200.0
5,2,200.0,5.0,0.0,200.0
5,3,200.0,5.0,0.0,200.0
6,1,200.0,5.0,0.0,200.0
6,2,200.0,5.0,0.0,200.0
6,3,200.0,5.0,0.0,200.0
7,1,200.0,5.0,0.0,200.0
7,2,200.0,5.0,0.0,200.0
7,3,200.0,5.0,0.0,200.0
8,1,200.0,5.0,0.0,200.0
8,2,200.0,5.0,0.0,200.0
8,3,200.0,5.0,0.0,200.0
9,1,200.0,5.0,0.0,200.0
9,2,200.0,5.0,0.0,200.0
9,3,200.0,5.0,0.0,200.0
10,1,200.0,5.0,0.0,200.0
10,2,200.0,5.0,0.0,200.0
10,3,200.0,5.0,0.0,200.0
11,1,200.0,5.0,0.0,200.0
11,2,200.0,5.0,0.0,200.0
11,3,200.0,5.0,0.0,200.0
