run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 coal,c_NL0 1 coal,c_NL0 10 coal
1,unit_pos,OPTIMAL,0.0280001163482666,0.0,200.0,5238.147836550435,5.0,0.0,OPTIMAL,207.5,355075.0,177.5,0.0,11.564989182752178,11.564989182752178,67.5,53.888888888888886,78.61111111111111
2,unit_pos,OPTIMAL,0.006999969482421875,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,121.38888888888889,78.61111111111111
3,unit_pos,OPTIMAL,0.004000186920166016,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,53.888888888888886,146.11111111111111
4,unit_neg,OPTIMAL,0.0009999275207519531,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,88.88888888888889,111.11111111111111
5,unit_neg,OPTIMAL,0.003000020980834961,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,110.0,160075.0,80.0,0.0,11.564989182752178,11.564989182752178,35.0,53.888888888888886,111.11111111111111
6,unit_neg,OPTIMAL,0.003000020980834961,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,102.5,145075.0,72.5,0.0,11.564989182752178,11.564989182752178,32.5,88.88888888888889,78.61111111111111
7,random,OPTIMAL,0.01399993896484375,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,207.5,355075.0,177.5,0.0,11.564989182752178,11.564989182752178,67.5,53.888888888888886,78.61111111111111
8,random,OPTIMAL,0.07000017166137695,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,207.5,355075.0,177.5,0.0,11.564989182752178,11.564989182752178,67.5,53.888888888888886,78.61111111111111
9,random,OPTIMAL,0.06700015068054199,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,121.38888888888889,78.61111111111111
10,random,OPTIMAL,0.029999971389770508,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,121.38888888888889,78.61111111111111
11,random,OPTIMAL,0.005000114440917969,0.0,200.0,5238.147836550436,5.0,0.0,OPTIMAL,0.0,0.0,0.0,0.0,11.564989182752178,11.564989182752178,0.0,53.888888888888886,146.11111111111111
