variable,min,max,mean,median,std
total_cap,1211.4329259406554,1211.4329259406554,1211.4329259406554,1211.4329259406554,NaN
market_cost,2.2821603477597704e9,2.2821603477597704e9,2.2821603477597704e9,2.2821603477597704e9,NaN
lambda_e_avg,42.14278014140742,42.14278014140742,42.14278014140742,42.14278014140742,NaN
ls_total,0.0,0.0,0.0,0.0,NaN
rd_volume,122416.37320919092,122416.37320919092,122416.37320919092,122416.37320919092,NaN
rd_cost,14207.797866252717,14207.797866252717,14207.797866252717,14207.797866252717,NaN
curtailment,0.0,0.0,0.0,0.0,NaN
rd_up_vol,61208.18660459546,61208.18660459546,61208.18660459546,61208.18660459546,NaN
rd_down_vol,61208.18660459546,61208.18660459546,61208.18660459546,61208.18660459546,NaN
rd_cost_econ,14207.797866252717,14207.797866252717,14207.797866252717,14207.797866252717,NaN
curt_cost,0.0,0.0,0.0,0.0,NaN
lambda_c_z1,0.0,0.0,0.0,0.0,NaN
lambda_c_z2,0.0,0.0,0.0,0.0,NaN
lambda_c_z3,18839.93447447773,18839.93447447773,18839.93447447773,18839.93447447773,NaN
c_dem_z1,7227.746702524866,7227.746702524866,7227.746702524866,7227.746702524866,NaN
c_dem_z2,4419.5,4419.5,4419.5,4419.5,NaN
c_dem_z3,5812.432925940655,5812.432925940655,5812.432925940655,5812.432925940655,NaN
nu_c_z1,0.0,0.0,0.0,0.0,NaN
nu_c_z2,0.0,0.0,0.0,0.0,NaN
nu_c_z3,18839.93447447773,18839.93447447773,18839.93447447773,18839.93447447773,NaN
req_z1,7227.746702524866,7227.746702524866,7227.746702524866,7227.746702524866,NaN
req_z2,3748.981146747608,3748.981146747608,3748.981146747608,3748.981146747608,NaN
req_z3,5812.43292594066,5812.43292594066,5812.43292594066,5812.43292594066,NaN
net_import_z1,-4.547473508864641e-13,-4.547473508864641e-13,-4.547473508864641e-13,-4.547473508864641e-13,NaN
net_import_z2,-1188.6718282183688,-1188.6718282183688,-1188.6718282183688,-1188.6718282183688,NaN
net_import_z3,1188.6718282183692,1188.6718282183692,1188.6718282183692,1188.6718282183692,NaN
c_NL0 0 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 1 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 10 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 11 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 12 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 13 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 14 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 15 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 16 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 17 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 18 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 19 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 2 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 20 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 21 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 22 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 23 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 24 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 25 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 26 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 27 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 28 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 3 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 30 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 31 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 33 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 4 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 5 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 6 Invest,124.15040983224048,124.15040983224048,124.15040983224048,124.15040983224048,NaN
c_NL0 7 Invest,1000.0,1000.0,1000.0,1000.0,NaN
c_NL0 8 Invest,0.0,0.0,0.0,0.0,NaN
c_NL0 9 Invest,87.28251610841494,87.28251610841494,87.28251610841494,87.28251610841494,NaN
