run_id,sigma,model,variable,value
3,0.0,milp,ls[1],0.0
3,0.0,milp,ls[2],0.0
3,0.0,milp,ls[3],0.0
3,0.0,milp,"q[1,NL0 0 CCGT]",50.0
3,0.0,milp,"q[2,NL0 0 CCGT]",150.0
3,0.0,milp,"q[3,NL0 0 CCGT]",200.0
3,0.0,milp,"q[1,NL0 1 coal]",75.0
3,0.0,milp,"q[2,NL0 1 coal]",75.0
3,0.0,milp,"q[3,NL0 1 coal]",75.0
3,0.0,milp,"q[1,NL0 10 nuclear]",0.0
3,0.0,milp,"q[2,NL0 10 nuclear]",0.0
3,0.0,milp,"q[3,NL0 10 nuclear]",0.0
3,0.0,milp,"q[1,NL0 0 0 solar]",50.0
3,0.0,milp,"q[2,NL0 0 0 solar]",0.0
3,0.0,milp,"q[3,NL0 0 0 solar]",25.0
3,0.0,milp,"q[1,NL0 1 0 solar]",25.0
3,0.0,milp,"q[2,NL0 1 0 solar]",50.0
3,0.0,milp,"q[3,NL0 1 0 solar]",0.0
3,0.0,milp,"q[1,NL0 10 0 solar]",0.0
3,0.0,milp,"q[2,NL0 10 0 solar]",25.0
3,0.0,milp,"q[3,NL0 10 0 solar]",50.0
3,0.0,milp,c[NL0 0 CCGT],200.0
3,0.0,milp,c[NL0 1 coal],75.0
3,0.0,milp,c[NL0 10 nuclear],0.0
3,0.0,milp,c_cm_I[NL0 0 CCGT],200.0
3,0.0,milp,c_cm_I[NL0 1 coal],75.0
3,0.0,milp,c_cm_I[NL0 10 nuclear],0.0
3,0.0,milp,c_cm_J[NL0 0 0 solar],0.0
3,0.0,milp,c_cm_J[NL0 1 0 solar],0.0
3,0.0,milp,c_cm_J[NL0 10 0 solar],0.0
3,0.0,milp,c_dem[1],275.0
3,0.0,milp,lambda_e[1],6.0
3,0.0,milp,lambda_e[2],6.0
3,0.0,milp,lambda_e[3],6.0
3,0.0,milp,lambda_c[1],27.0
3,0.0,milp,lambda_c_sys,27.0
3,0.0,milp,"mu_g_up_I[1,NL0 0 CCGT]",0.0
3,0.0,milp,"mu_g_up_I[2,NL0 0 CCGT]",0.0
3,0.0,milp,"mu_g_up_I[3,NL0 0 CCGT]",0.0
3,0.0,milp,"mu_g_up_I[1,NL0 1 coal]",1.0
3,0.0,milp,"mu_g_up_I[2,NL0 1 coal]",1.0
3,0.0,milp,"mu_g_up_I[3,NL0 1 coal]",1.0
3,0.0,milp,"mu_g_up_I[1,NL0 10 nuclear]",2.0
3,0.0,milp,"mu_g_up_I[2,NL0 10 nuclear]",2.0
3,0.0,milp,"mu_g_up_I[3,NL0 10 nuclear]",2.0
3,0.0,milp,"mu_g_up_J[1,NL0 0 0 solar]",5.99
3,0.0,milp,"mu_g_up_J[2,NL0 0 0 solar]",5.989999999999739
3,0.0,milp,"mu_g_up_J[3,NL0 0 0 solar]",5.99
3,0.0,milp,"mu_g_up_J[1,NL0 1 0 solar]",5.99
3,0.0,milp,"mu_g_up_J[2,NL0 1 0 solar]",5.989999999999739
3,0.0,milp,"mu_g_up_J[3,NL0 1 0 solar]",5.99
3,0.0,milp,"mu_g_up_J[1,NL0 10 0 solar]",5.99
3,0.0,milp,"mu_g_up_J[2,NL0 10 0 solar]",5.989999999999739
3,0.0,milp,"mu_g_up_J[3,NL0 10 0 solar]",5.99
3,0.0,milp,mu_cm_bud_I[NL0 0 CCGT],27.0
3,0.0,milp,mu_cm_bud_I[NL0 1 coal],27.0
3,0.0,milp,mu_cm_bud_I[NL0 10 nuclear],31.5
3,0.0,milp,mu_cm_bud_J[NL0 0 0 solar],27.0
3,0.0,milp,mu_cm_bud_J[NL0 1 0 solar],27.0
3,0.0,milp,mu_cm_bud_J[NL0 10 0 solar],27.0
3,0.0,milp,mu_cap_up[NL0 0 CCGT],4.5
3,0.0,milp,mu_cap_up[NL0 1 coal],0.0
3,0.0,milp,mu_cap_up[NL0 10 nuclear],0.0
3,0.0,milp,nu_c[1],0.0
3,0.0,milp,rho[1],0.0
3,0.0,rd,"r_up[1,NL0 0 CCGT]",0.0
3,0.0,rd,"r_up[2,NL0 0 CCGT]",0.0
3,0.0,rd,"r_up[3,NL0 0 CCGT]",0.0
3,0.0,rd,"r_up[1,NL0 1 coal]",0.0
3,0.0,rd,"r_up[2,NL0 1 coal]",0.0
3,0.0,rd,"r_up[3,NL0 1 coal]",0.0
3,0.0,rd,"r_up[1,NL0 10 nuclear]",0.0
