run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
3,NL0 0 CCGT,investable,NL0 0,1,200.0,27.0,27.0
3,NL0 1 coal,investable,NL0 1,1,75.0,27.0,27.0
3,NL0 10 nuclear,investable,NL0 10,1,0.0,27.0,31.5
3,NL0 0 0 solar,legacy,NL0 0,1,0.0,27.0,27.0
3,NL0 1 0 solar,legacy,NL0 1,1,0.0,27.0,27.0
3,NL0 10 0 solar,legacy,NL0 10,1,0.0,27.0,27.0
5,NL0 0 CCGT,investable,NL0 0,1,200.0,0.0,0.0
5,NL0 1 coal,investable,NL0 1,1,75.0,0.0,0.0
5,NL0 10 nuclear,investable,NL0 10,1,0.0,0.0,0.0
5,NL0 0 0 solar,legacy,NL0 0,1,0.0,0.0,0.0
5,NL0 1 0 solar,legacy,NL0 1,1,0.0,0.0,0.0
5,NL0 10 0 solar,legacy,NL0 10,1,0.0,0.0,0.0
6,NL0 0 CCGT,investable,NL0 0,1,200.0,27.0,27.0
6,NL0 1 coal,investable,NL0 1,1,75.0,27.0,27.0
6,NL0 10 nuclear,investable,NL0 10,1,0.0,27.0,31.5
6,NL0 0 0 solar,legacy,NL0 0,1,0.0,27.0,27.0
6,NL0 1 0 solar,legacy,NL0 1,1,0.0,27.0,27.0
6,NL0 10 0 solar,legacy,NL0 10,1,0.0,27.0,27.0
