variable,min,max,mean,median,std
total_cap,275.0,275.0,275.0,275.0,0.0
market_cost,10277.25,10277.25,10277.25,10277.25,0.0
lambda_e_avg,6.0,15.0,9.0,6.0,5.196152422706632
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,425.62329761479975,425.62329761479975,425.6232976147997,425.62329761479975,6.961868572213853e-14
rd_cost,2.9365715480369292e7,2.9365715480369292e7,2.936571548036929e7,2.9365715480369292e7,4.562530187486071e-9
curtailment,425.62329761479975,425.62329761479975,425.6232976147997,425.62329761479975,6.961868572213853e-14
rd_up_vol,0.0,0.0,0.0,0.0,0.0
rd_down_vol,425.62329761479975,425.62329761479975,425.6232976147997,425.62329761479975,6.961868572213853e-14
rd_cost_econ,-2292.05505188897,-2292.05505188897,-2292.05505188897,-2292.05505188897,0.0
curt_cost,2.936800753542118e7,2.936800753542118e7,2.936800753542118e7,2.936800753542118e7,0.0
lambda_c_z1,0.0,27.0,18.0,27.0,15.588457268119896
c_dem_z1,275.0,275.0,275.0,275.0,0.0
nu_c_z1,0.0,27.0,9.0,0.0,15.588457268119896
req_z1,275.0,275.0,275.0,275.0,0.0
net_import_z1,0.0,0.0,0.0,0.0,0.0
c_NL0 0 CCGT,200.0,200.0,200.0,200.0,0.0
c_NL0 1 coal,75.0,75.0,75.0,75.0,0.0
c_NL0 10 nuclear,0.0,0.0,0.0,0.0,0.0
