run_id,generator,type,bus,gen_zone,target_zone,cm_offer,lambda_c_z,mu_cm_bud,mu_mec_z
1,NL0 0 CCGT,investable,NL0 0,1,1,1000.0,47082.32971250568,47082.32971252022,0.0
1,NL0 1 CCGT,investable,NL0 1,3,3,590.5285659935605,47082.32971250563,47082.32971252022,0.0
1,NL0 10 CCGT,investable,NL0 10,1,1,892.9162098206025,47082.32971250568,47082.32971252022,0.0
1,NL0 11 CCGT,investable,NL0 11,3,3,641.6354574739471,47082.32971250563,47082.32971252022,0.0
1,NL0 12 CCGT,investable,NL0 12,2,2,0.0,47082.32971250563,47082.32971252022,0.0
1,NL0 13 CCGT,investable,NL0 13,3,3,210.95917138853383,47082.32971250563,47082.32971252022,0.0
1,NL0 14 CCGT,investable,NL0 14,2,2,0.0,47082.32971250563,47082.32971252022,0.0
1,NL0 15 CCGT,investable,NL0 15,2,2,511.30931852923914,47082.32971250563,47082.32971252022,0.0
1,NL0 15 CCGT,investable,NL0 15,2,3,488.69068147076086,47082.32971250563,47082.32971252022,0.0
1,NL0 16 CCGT,investable,NL0 16,1,1,0.0,47082.32971250568,47082.32971252022,0.0
1,NL0 16 CCGT,investable,NL0 16,1,3,277.8854631006129,47082.32971250563,47082.32971252022,0.0
1,NL0 17 CCGT,investable,NL0 17,1,1,0.0,47082.32971250568,47082.32971252022,0.0
1,NL0 17 CCGT,investable,NL0 17,1,3,474.16671270018605,47082.32971250563,47082.32971252022,0.0
1,NL0 18 CCGT,investable,NL0 18,1,1,885.2124574736526,47082.32971250568,47082.32971252022,0.0
1,NL0 19 CCGT,investable,NL0 19,2,2,1000.0,47082.32971250563,47082.32971252022,0.0
1,NL0 2 CCGT,investable,NL0 2,2,2,0.0,47082.32971250563,47082.32971252022,0.0
1,NL0 20 CCGT,investable,NL0 20,1,1,1000.0,47082.32971250568,47082.32971252022,0.0
1,NL0 21 CCGT,investable,NL0 21,1,1,0.0,47082.32971250568,47082.32971252022,0.0
1,NL0 21 CCGT,investable,NL0 21,1,3,328.29770781390334,47082.32971250563,47082.32971252022,0.0
1,NL0 22 CCGT,investable,NL0 22,3,3,595.1511800108651,47082.32971250563,47082.32971252022,0.0
1,NL0 23 CCGT,investable,NL0 23,1,1,0.0,47082.32971250568,47082.32971252022,0.0
1,NL0 23 CCGT,investable,NL0 23,1,3,120.02468063391552,47082.32971250563,47082.32971252022,0.0
1,NL0 24 CCGT,investable,NL0 24,1,1,0.0,47082.32971250568,47082.32971252022,0.0
1,NL0 24 CCGT,investable,NL0 24,1,3,302.03195481357125,47082.32971250563,47082.32971252022,0.0
1,NL0 25 CCGT,investable,NL0 25,2,2,1000.0,47082.32971250563,47082.32971252022,0.0
1,NL0 26 CCGT,investable,NL0 26,2,2,1000.0,47082.32971250563,47082.32971252022,0.0
1,NL0 27 CCGT,investable,NL0 27,1,1,1000.0,47082.32971250568,47082.32971252022,0.0
1,NL0 28 CCGT,investable,NL0 28,2,2,0.0,47082.32971250563,47082.32971252022,0.0
1,NL0 3 CCGT,investable,NL0 3,1,1,1000.0,47082.32971250568,47082.32971252022,0.0
