run_id,t,node,demand,ls,curtailment
3,104,NL0 14,120.3577287352291,0.0,81.4839278028337
3,109,NL0 14,121.51570114901915,0.0,56.525671346719676
3,114,NL0 14,127.36605056407832,0.0,80.09518428712238
3,159,NL0 14,119.95568619432385,0.0,89.24457251569874
3,186,NL0 14,149.73060497530568,0.0,92.2926565191421
4,116,NL0 25,225.8992943156274,0.0,16.583962748610872
9,103,NL0 25,216.52109573968468,0.0,97.62364279001508
9,116,NL0 25,225.8992943156274,0.0,93.42262911120906
9,151,NL0 25,220.1979661950862,0.0,150.1838301245975
9,177,NL0 25,266.62451185332304,0.0,148.91665944738932
9,179,NL0 25,256.0841525061728,0.0,170.8166949928672
9,180,NL0 25,252.591299123704,0.0,78.7335180676784
9,186,NL0 25,270.3057480130645,0.0,78.73795898237682
10,103,NL0 25,216.52109573968468,0.0,109.09194726238877
10,116,NL0 25,225.8992943156274,0.0,80.99482110649856
10,151,NL0 25,220.1979661950862,0.0,111.93125511047006
10,177,NL0 25,266.62451185332304,0.0,152.05290536362745
10,179,NL0 25,256.0841525061728,0.0,170.81669499286735
10,180,NL0 25,252.591299123704,0.0,15.232887193598401
10,186,NL0 25,270.3057480130645,0.0,65.92867058210818
11,186,NL0 25,270.3057480130645,0.0,57.68907393501752
14,186,NL0 25,270.3057480130645,0.0,112.91417134311848
15,186,NL0 25,270.3057480130645,0.0,112.91417134311848
17,186,NL0 25,270.3057480130645,0.0,2.4630414963808107
18,186,NL0 25,270.3057480130645,0.0,77.67643100389648
21,186,NL0 25,270.3057480130645,0.0,90.90415812045603
23,186,NL0 25,270.3057480130645,0.0,2.5997781669844358
24,186,NL0 25,270.3057480130645,0.0,89.780146149144
26,186,NL0 25,270.3057480130645,0.0,60.69194140376669
31,186,NL0 25,270.3057480130645,0.0,112.11527065612506
33,100,NL0 25,175.43354863088186,0.0,73.99807934405169
33,113,NL0 26,143.16729585918918,0.0,76.37466156118312
33,150,NL0 25,211.34007285540272,0.0,19.48967431040046
