run_id,generator,bus,zone,cap,vc,mu_cm_bud,energy_rent,cm_rent,total_gen
1,NL0 1 biomass,NL0 1,3,71.0,19.979914529914527,47082.32971248905,304121.0727076489,3.3428454095878997e6,12496.0
1,NL0 1 waste,NL0 1,3,31.0,34.1135,47082.32971248905,61055.03026471323,1.4595522210876744e6,4898.0
1,NL0 10 waste,NL0 10,1,150.0,34.1135,47082.32971250566,295427.565796999,7.062349456875851e6,21586.256330936838
1,NL0 11 biomass,NL0 11,3,20.0,19.979914529914527,47082.32971248905,85667.90780497158,941646.5942501125,3440.0
1,NL0 11 waste,NL0 11,3,50.0,34.1135,47082.32971248905,98475.85526566638,2.3541164856252815e6,7334.94571561753
1,NL0 13 biomass,NL0 13,3,77.0,19.979914529914527,47082.32971248905,329821.44504913926,3.6253393878629333e6,13199.834608023964
1,NL0 19 biomass,NL0 19,2,49.0,19.979914529914527,47082.32971248905,209886.3741221796,2.3070341559127755e6,8428.0
1,NL0 19 waste,NL0 19,2,36.0,34.1135,47082.32971248905,70902.61579127991,1.6949638696502026e6,5364.0
1,NL0 22 biomass,NL0 22,3,500.0,19.979914529914527,47082.32971248905,2.141697695124286e6,2.354116485625281e7,88016.6413866065
1,NL0 25 waste,NL0 25,2,54.0,34.1135,47082.32971248905,106353.92368691959,2.5424458044753037e6,8059.631434855493
1,NL0 27 biomass,NL0 27,1,22.0,19.979914529914527,47082.32971250566,94234.69858546878,1.035811253675125e6,3784.0
1,NL0 27 waste,NL0 27,1,71.2,34.1135,47082.32971250566,140229.6178983094,3.3522618755304045e6,10540.207729048008
1,NL0 3 biomass,NL0 3,1,22.0,19.979914529914527,47082.32971250566,94234.69858546878,1.035811253675125e6,3784.0
1,NL0 3 waste,NL0 3,1,108.0,34.1135,47082.32971250566,212707.84737383918,5.084891608950613e6,16117.92075513866
1,NL0 30 biomass,NL0 30,1,60.0,19.979914529914527,47082.32971250566,257003.7234149147,2.8249397827503406e6,10320.0
1,NL0 7 nuclear,NL0 7,3,515.0,27.322803680981593,47082.32971248905,1.566860268714888e6,2.4247399801940396e7,84102.42124441388
1,NL0 7 waste,NL0 7,3,39.0,34.1135,47082.32971248905,76811.16710721992,1.8362108587877194e6,5608.365517911532
1,NL0 8 biomass,NL0 8,1,36.0,19.979914529914527,47082.32971250566,154202.23404894868,1.6949638696502044e6,6156.0
1,NL0 8 waste,NL0 8,1,157.0,34.1135,47082.32971250566,309214.18553419283,7.391925764863383e6,23920.177980104854
1,NL0 9 biomass,NL0 9,3,20.0,19.979914529914527,47082.32971248905,85667.90780497158,941646.5942501125,3400.0
1,NL0 0 0 solar,NL0 0,1,144.0,0.01,47082.32971250566,144578.5684940748,0.0,3495.773849164557
1,NL0 1 0 solar,NL0 1,3,291.5,0.01,47082.32971248905,286908.0312537537,0.0,6948.705449759601
1,NL0 10 0 solar,NL0 10,1,120.1,0.01,47082.32971250566,125640.50301473771,0.0,3035.911304769087
1,NL0 11 0 solar,NL0 11,3,436.4,0.01,47082.32971248905,423522.8286794987,0.0,10306.481755249355
1,NL0 12 0 solar,NL0 12,2,203.1,0.01,47082.32971248905,196988.51380870314,0.0,4820.922511544389
1,NL0 13 0 solar,NL0 13,3,473.2,0.01,47082.32971248905,460326.71389416495,0.0,11187.12111382479
1,NL0 14 0 solar,NL0 14,2,85.3,0.01,47082.32971248905,85324.6200160714,0.0,2087.766369828288
1,NL0 15 0 solar,NL0 15,2,369.4,0.01,47082.32971248905,354841.31891771645,0.0,8736.034836219216
1,NL0 16 0 solar,NL0 16,1,68.8,0.01,47082.32971250566,70138.26224349788,0.0,1691.429822583082
1,NL0 17 0 solar,NL0 17,1,63.1,0.01,47082.32971250566,66116.27287493502,0.0,1589.8866005602995
1,NL0 18 0 solar,NL0 18,1,13.399999999999999,0.01,47082.32971250566,13973.759156851696,0.0,335.7101117000059
1,NL0 19 0 solar,NL0 19,2,75.60000000000001,0.01,47082.32971248905,73113.28190464665,0.0,1815.025491959703
1,NL0 2 0 solar,NL0 2,2,1109.1,0.01,47082.32971248905,1.062771447223847e6,0.0,26402.661517956996
