run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 CCGT,c_NL0 1 CCGT,c_NL0 10 CCGT,c_NL0 11 CCGT,c_NL0 12 CCGT,c_NL0 13 CCGT,c_NL0 14 CCGT,c_NL0 15 CCGT,c_NL0 16 CCGT,c_NL0 17 CCGT,c_NL0 18 CCGT,c_NL0 19 CCGT,c_NL0 2 CCGT,c_NL0 20 CCGT,c_NL0 21 CCGT,c_NL0 22 CCGT,c_NL0 23 CCGT,c_NL0 24 CCGT,c_NL0 25 CCGT,c_NL0 26 CCGT,c_NL0 27 CCGT,c_NL0 28 CCGT,c_NL0 3 CCGT,c_NL0 30 CCGT,c_NL0 31 CCGT,c_NL0 33 CCGT,c_NL0 4 CCGT,c_NL0 5 CCGT,c_NL0 6 CCGT,c_NL0 7 CCGT,c_NL0 8 CCGT,c_NL0 9 CCGT
1,unit_pos,OPTIMAL,1.9830000400543213,0.0,17700.96077521313,3.1414346283889704e9,40.18282306038071,0.0,OPTIMAL,2.8389996482486524e7,8.595144619047564e8,0.0,47082.32971250568,47082.32971250563,47082.32971250563,1000.0,590.5285659935605,892.9162098206025,641.6354574739471,0.0,210.95917138853383,0.0,1000.0,277.8854631006129,474.16671270018605,885.2124574736526,1000.0,0.0,1000.0,328.29770781390334,595.1511800108651,120.02468063391552,302.03195481357125,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,71.90598864596359,0.0,614.59448913903,1000.0,715.2327009741787,980.4180352306112,0.0
2,unit_pos,OPTIMAL,2.504999876022339,0.0,17700.960775213134,3.141434628388984e9,40.18282306038072,0.0,OPTIMAL,1.785803980983606e7,1.0111604662566059e9,189026.55526638374,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,850.0165262405021,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,900.9957797993043,0.0,0.0,268.90355587664226,794.3621571608176,1000.0,0.0,510.30931852923914,1000.0,0.0,915.8878920599423,460.4855455466865,1000.0
3,unit_pos,OPTIMAL,2.1679999828338623,0.0,17700.960775213134,3.141434628388981e9,40.18282306038072,0.0,OPTIMAL,1.7934653697515696e7,1.3289760926555648e9,350236.5996270734,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,641.2607748685678,0.0,0.0,0.0,1000.0,1000.0,1000.0,580.5911045817361,0.0,1000.0,0.0,1000.0,284.2277637260461,318.914122617408,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,717.7910109459987,362.63436253984423,336.2322649246689,566.868229254433,857.4149007510873,35.026241003344126
4,unit_pos,OPTIMAL,1.9689998626708984,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.8326386023534514e7,1.073848692043919e9,204115.73473226017,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,155.9253708654669,284.65924020043167,0.0,0.0,1000.0,0.0,0.0,1000.0,63.11700421401565,1000.0,0.0,197.25915993321996,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
5,unit_pos,OPTIMAL,2.125,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,2.015051931563464e7,1.0039580905476859e9,154664.7572503455,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,754.1735005470755,1000.0,1000.0,0.0,0.0,31.738216138163807,1000.0,1000.0,1000.0,0.0,0.0,774.3976018439998,1000.0,140.65145668389505,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
6,unit_pos,OPTIMAL,2.0999999046325684,0.0,17700.960775213134,3.141434628388981e9,40.18282306038072,0.0,OPTIMAL,1.9760138790117532e7,7.824986311947773e8,43582.08097416432,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,45.44743910293437,0.0,1000.0,1000.0,0.0,760.6883788792293,0.0,0.0,894.8249572309705,1000.0
7,unit_pos,OPTIMAL,2.115999937057495,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,2.0144654898231883e7,9.842758397099645e8,144297.41182274683,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,879.5126828803841,1000.0,1000.0,0.0,0.0,31.738216138163807,1000.0,1000.0,1000.0,0.0,0.0,649.0584195106912,1000.0,140.65145668389505,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
8,unit_pos,OPTIMAL,1.9940001964569092,0.0,17700.960775213134,3.141434628388981e9,40.18282306038072,0.0,OPTIMAL,2.013855745430253e7,9.79969689382249e8,141841.69145230175,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,560.3093185292391,1000.0,140.65145668389505,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
9,unit_pos,OPTIMAL,2.128000020980835,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.9992463378216542e7,9.656951255210888e8,136716.64576634404,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,125.5783221596248,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,432.1303497720073,0.0,0.0,0.0,0.0,288.482537283915,485.69102074001967,785.6964314733168,1000.0,0.0,0.0,1000.0,583.3821137842506
10,unit_pos,OPTIMAL,1.9140000343322754,0.0,17700.960775213134,3.141434628388982e9,40.18282306038072,0.0,OPTIMAL,1.9818620219089355e7,9.106349973617394e8,110887.79884565741,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,115.62733960580954,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,253.59865463892856,0.0,0.0,0.0,0.0,231.53467134977836,542.6388866741563,964.4508375661444,1000.0,0.0,0.0,1000.0,593.110385378317
