variable,min,max,mean,median,std
total_cap,17700.96077521313,17700.960775213138,17700.96077521313,17700.960775213134,3.717362236579144e-12
market_cost,3.1414346283889704e9,3.141434628388984e9,3.1414346283889804e9,3.141434628388981e9,1.88885162629202e-6
lambda_e_avg,40.18282306038071,40.18282306038072,40.18282306038071,40.18282306038072,7.105427357601002e-15
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,105415.98397002491,6.542029192307351e6,1.0202098663414987e6,840971.3372031066,851258.8893903212
rd_cost,5.234098174301195e6,2.2758856841494274e8,7.301776595564777e7,4.6279195711188614e7,5.360704364358964e7
curtailment,0.0,101902.20985832401,24304.118221618704,7053.023221236524,27277.189287196405
lambda_c_z1,47082.32971250568,47082.32971252022,47082.32971252002,47082.32971252022,1.7509832695455077e-9
lambda_c_z2,47082.32971250563,47082.32971252022,47082.32971252002,47082.32971252022,1.7571178445304644e-9
lambda_c_z3,47082.32971250563,47082.32971252022,47082.32971252002,47082.32971252022,1.7571178445304644e-9
c_NL0 0 CCGT,0.0,1000.0,956.5217391304348,1000.0,205.42514084466046
c_NL0 1 CCGT,0.0,1000.0,975.2389759595175,1000.0,133.65819222557624
c_NL0 10 CCGT,0.0,1000.0,940.4770465191391,1000.0,235.3658347918612
c_NL0 11 CCGT,0.0,1000.0,936.8352964851297,1000.0,238.04134407337253
c_NL0 12 CCGT,0.0,1000.0,849.8733445633126,1000.0,355.08016818985635
c_NL0 13 CCGT,0.0,1000.0,207.37727405116155,0.0,389.0946968076343
c_NL0 14 CCGT,0.0,1000.0,797.1014492753624,1000.0,405.1038408971623
c_NL0 15 CCGT,0.0,1000.0,314.7921955762524,0.0,396.7410897122788
c_NL0 16 CCGT,0.0,1000.0,846.8668236806677,1000.0,355.9551623152657
c_NL0 17 CCGT,0.0,1000.0,716.2546764349244,824.1076138469894,363.4110514302337
c_NL0 18 CCGT,0.0,1000.0,517.9018693291907,885.2124574736526,499.98216583159365
c_NL0 19 CCGT,0.0,1000.0,520.4691284006017,1000.0,496.39706790059296
c_NL0 2 CCGT,0.0,1000.0,721.7311504109526,1000.0,437.44584909741764
c_NL0 20 CCGT,0.0,1000.0,902.0295068480649,1000.0,294.9393834434229
c_NL0 21 CCGT,0.0,1000.0,409.42815269149474,53.49945750963343,476.3326370543713
c_NL0 22 CCGT,0.0,1000.0,929.9839733945701,1000.0,242.75813355919325
c_NL0 23 CCGT,0.0,1000.0,193.05316549591979,146.73198019515803,283.475694309962
c_NL0 24 CCGT,0.0,1000.0,174.1637871355673,0.0,367.9515936939478
c_NL0 25 CCGT,0.0,1000.0,172.89754439690094,0.0,321.9021584158224
c_NL0 26 CCGT,0.0,1000.0,485.44283732561337,432.1303497720073,465.7125638542657
c_NL0 27 CCGT,0.0,1000.0,215.13397420132628,0.0,400.829945112237
c_NL0 28 CCGT,0.0,1000.0,195.35459427175684,0.0,394.19423297681146
c_NL0 3 CCGT,0.0,1000.0,242.017675838747,161.13450903364628,314.619190989446
c_NL0 30 CCGT,0.0,1000.0,664.5364424039642,1000.0,466.28449087364135
c_NL0 31 CCGT,0.0,1000.0,760.3266638563928,1000.0,393.80585702303347
c_NL0 33 CCGT,0.0,1000.0,252.55911225047674,0.0,384.4471259206335
c_NL0 4 CCGT,0.0,1000.0,275.8077186407392,0.0,428.3235705085241
c_NL0 5 CCGT,0.0,1000.0,564.7704755105817,521.1047541590287,378.2354796265456
c_NL0 6 CCGT,0.0,1000.0,644.4898496455143,1000.0,468.90000036686683
c_NL0 7 CCGT,0.0,1000.0,169.71475534548276,0.0,329.1561383498182
c_NL0 8 CCGT,0.0,1000.0,317.49720723716115,0.0,441.03138170374655
c_NL0 9 CCGT,0.0,1000.0,830.3123689062129,1000.0,316.9870351901376
